"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"rubare",0,0,2,0,0,0,0,1,0,2,0,0,0,0
"saltare",0,1,1,0,0,0,0,1,0,0,0,1,0,1
"scaricare",0,0,3,0,0,1,0,1,0,0,0,0,0,0
"scongiurare",0,0,0,0,0,0,3,0,1,0,0,0,1,0
"segnare",0,0,2,0,0,0,0,1,0,1,1,0,0,0
"sollevare",1,0,2,0,0,2,0,0,0,0,0,0,0,0
"sostituire",1,0,0,0,0,1,0,2,0,0,0,0,1,0
"sottolineare",1,0,1,0,0,0,2,0,0,0,0,0,0,1
"spedire",0,0,0,0,0,3,0,1,0,0,0,0,1,0
"sperimentare",0,0,2,0,0,1,1,0,0,0,1,0,0,0
"stringere",0,0,0,0,0,2,0,0,0,1,0,0,0,2
"svanire",0,0,0,4,0,0,0,0,0,0,0,1,0,0
"temo",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"trarre",0,0,0,0,0,0,3,0,0,0,1,0,0,1
"unire",1,0,0,0,0,1,0,0,0,0,3,0,0,0
"versare",1,0,1,0,0,0,0,3,0,0,0,0,0,0
"votare",0,0,3,0,0,0,0,0,0,0,0,0,0,2
"abbassare",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"abbattere",0,0,0,0,0,1,0,0,0,1,0,0,2,0
"agevolare",0,0,0,0,0,0,4,0,0,0,0,0,0,0
"alimentare",0,0,0,0,0,0,1,0,3,0,0,0,0,0
"annullare",1,0,1,0,0,0,0,1,0,0,0,0,1,0
"aperto",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"arruolare",0,0,0,0,0,0,0,3,0,0,0,0,1,0
"assassinare",0,0,1,0,0,0,0,1,0,0,1,0,1,0
"assegnare",0,0,0,0,0,1,0,1,0,0,0,0,1,1
"assolto",1,0,0,0,0,0,0,3,0,0,0,0,0,0
"attribuire",0,0,0,0,0,1,0,0,1,1,1,0,0,0
"attuare",0,0,0,0,0,1,0,2,0,0,0,0,0,1
"campare",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"causare",2,0,1,0,0,0,0,0,0,1,0,0,0,0
"colmare",1,0,1,0,0,1,1,0,0,0,0,0,0,0
"commettere",0,0,2,0,0,0,0,2,0,0,0,0,0,0
"concludere",0,0,0,0,0,0,0,0,0,1,1,0,0,2
"condividere",1,0,0,0,0,1,0,0,0,1,1,0,0,0
"conferire",0,0,0,0,0,0,2,0,0,0,2,0,0,0
"constatare",0,0,1,2,0,0,1,0,0,0,0,0,0,0
"consultare",0,0,3,0,0,1,0,0,0,0,0,0,0,0
"contrastare",0,0,0,0,0,0,0,0,1,2,1,0,0,0
"convertire",0,0,2,0,0,0,0,1,0,0,0,0,1,0
"convincere",1,0,1,0,0,0,0,0,2,0,0,0,0,0
"desiderare",1,0,0,0,0,0,0,0,0,2,1,0,0,0
"disegnare",0,0,0,0,0,0,1,0,2,0,0,0,0,1
"esaurire",0,0,0,0,0,0,0,0,0,0,0,0,3,1
"fondare",1,0,0,0,0,0,0,1,0,0,1,1,0,0
"fumare",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"incidere",0,0,0,0,0,0,0,0,0,1,2,1,0,0
"inviare",0,0,0,0,0,1,0,0,0,0,0,0,3,0
"ispirare",3,0,0,0,0,0,0,1,0,0,0,0,0,0
"legare",1,0,0,0,0,2,0,0,0,0,1,0,0,0
"litigare",0,0,2,0,0,1,0,0,0,1,0,0,0,0
"manifestare",0,0,1,0,0,0,1,1,1,0,0,0,0,0
"mantenere",0,0,0,0,0,0,2,0,2,0,0,0,0,0
"mirare",0,0,0,0,0,0,0,0,0,1,3,0,0,0
"modificare",0,0,2,0,0,0,0,0,0,0,2,0,0,0
"nuotare",0,0,2,0,0,0,1,0,1,0,0,0,0,0
"nutrire",0,0,0,0,0,1,0,1,0,1,1,0,0,0
"offendere",0,0,0,0,0,2,0,2,0,0,0,0,0,0
"organizzare",1,0,0,0,0,0,0,1,0,1,1,0,0,0
"osare",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"paragonare",3,0,1,0,0,0,0,0,0,0,0,0,0,0
"parte",0,2,0,0,0,0,0,0,0,1,1,0,0,0
"preferire",0,0,0,0,0,1,0,0,0,0,2,1,0,0
"pregare",0,0,0,0,0,1,0,0,1,1,0,0,1,0
"premere",0,0,1,0,0,0,0,0,0,0,0,0,0,3
"privare",0,0,0,0,0,0,1,0,1,2,0,0,0,0
"provenire",0,0,0,0,0,0,1,0,0,1,2,0,0,0
"puntare",0,0,0,0,0,3,0,0,1,0,0,0,0,0
"regalare",0,0,1,0,0,1,0,0,0,2,0,0,0,0
"resistere",1,0,0,2,0,0,0,0,0,1,0,0,0,0
"rilevare",0,0,1,0,0,0,0,0,1,1,0,0,1,0
"ritirare",0,0,0,0,0,1,0,0,0,0,0,0,0,3
"rivendere",0,0,0,0,0,0,0,3,0,0,0,0,0,1
"rovinare",0,0,0,0,0,1,0,1,0,1,0,0,0,1
"sbarcare",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"scadere",0,0,0,0,0,0,0,0,0,0,0,4,0,0
"schiacciare",0,0,1,0,0,1,1,1,0,0,0,0,0,0
"scomodare",0,0,0,0,0,1,0,0,0,2,0,0,0,1
"sconfiggere",0,0,2,0,0,0,0,0,0,0,1,0,1,0
"segnalare",1,1,0,0,0,0,0,0,1,1,0,0,0,0
"seppellire",0,1,0,0,0,0,0,0,0,1,0,0,2,0
"sfruttare",1,0,1,0,0,0,0,0,0,1,1,0,0,0
"sfuggire",0,0,0,0,0,0,0,1,1,0,1,0,0,1
"soddisfare",0,0,0,0,0,0,1,0,1,2,0,0,0,0
"sognare",1,0,2,0,0,0,0,1,0,0,0,0,0,0
"sottratto",2,0,2,0,0,0,0,0,0,0,0,0,0,0
"spendere",0,0,3,0,0,1,0,0,0,0,0,0,0,0
"spentare",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"sprecare",0,0,0,0,0,2,0,1,0,0,0,0,0,1
"spuntare",0,0,0,0,0,0,0,0,0,0,0,4,0,0
"starere",0,0,0,0,0,0,0,0,0,0,4,0,0,0
"strappare",1,0,0,0,0,0,0,2,1,0,0,0,0,0
"suggerire",3,0,0,0,0,0,0,0,0,1,0,0,0,0
"tendere",0,0,0,0,0,0,1,0,0,2,1,0,0,0
"trattenere",0,0,1,0,0,0,0,1,1,0,1,0,0,0
"travolgere",0,0,0,0,0,0,1,1,0,0,0,0,1,1
"urtare",0,0,3,1,0,0,0,0,0,0,0,0,0,0
"valere",0,0,0,0,0,0,0,0,0,4,0,0,0,0
"volare",0,0,0,0,0,1,0,0,0,1,1,1,0,0
"adeguare",0,0,0,0,0,1,0,0,1,0,1,0,0,0
"affettare",0,0,0,1,0,0,0,0,0,1,0,0,0,1
"affondare",0,0,1,1,0,0,0,0,1,0,0,0,0,0
"aggirare",1,0,0,0,0,0,1,0,1,0,0,0,0,0
"aggredire",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"allargare",1,0,0,0,0,0,0,1,1,0,0,0,0,0
"allevare",1,0,0,0,0,0,0,1,1,0,0,0,0,0
"alleviare",0,0,0,0,0,1,2,0,0,0,0,0,0,0
"alterare",0,0,0,0,0,1,0,0,0,1,1,0,0,0
"applaudire",0,0,0,0,0,2,0,0,1,0,0,0,0,0
"appoggiare",0,0,0,0,0,1,1,0,0,0,0,0,0,1
"approfittare",0,0,0,0,0,1,0,0,1,0,1,0,0,0
"archiviare",0,0,1,0,0,0,0,0,0,0,0,0,1,1
"arrabbiare",0,0,0,0,0,1,1,0,0,0,0,0,0,1
"arrendere",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"assaggiare",0,0,2,0,0,0,0,0,0,0,0,0,0,1
"assalire",0,0,1,0,0,1,0,0,0,0,0,0,1,0
"associare",1,0,0,0,0,1,0,0,0,0,0,0,1,0
"assorbire",0,0,0,0,0,0,0,1,0,1,1,0,0,0
"atterrare",0,0,0,0,0,0,0,0,0,0,0,1,0,2
"attingere",0,0,0,0,0,1,0,0,0,1,1,0,0,0
"attirare",0,0,0,0,0,1,0,0,2,0,0,0,0,0
"attrarre",1,0,0,0,0,0,0,0,1,0,0,0,1,0
"avanzare",1,0,0,0,0,0,1,0,0,0,1,0,0,0
"avvalersi",0,0,0,0,0,1,2,0,0,0,0,0,0,0
"ballare",0,0,1,1,0,0,0,0,0,1,0,0,0,0
"brillare",0,0,0,2,0,0,0,0,0,0,1,0,0,0
"bruciare",0,0,0,0,0,0,0,0,0,0,0,0,2,1
"capitare",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"catturare",0,0,0,0,1,0,0,1,0,0,0,0,1,0
"censurare",1,0,0,0,0,2,0,0,0,0,0,0,0,0
"citare",2,0,0,0,0,0,0,0,0,0,0,0,0,1
"classificare",2,0,0,0,0,0,0,1,0,0,0,0,0,0
"coltivare",0,0,0,0,0,0,0,1,1,0,0,0,1,0
"completare",0,0,0,0,0,0,1,0,1,0,0,0,1,0
"concedere",0,0,0,0,0,1,1,0,0,0,1,0,0,0
"confrontare",0,0,1,0,0,2,0,0,0,0,0,0,0,0
"consacrare",0,0,1,0,0,0,0,0,0,0,0,0,2,0
"conservare",0,0,0,0,0,0,2,0,0,1,0,0,0,0
"coprire",0,0,0,0,0,1,1,0,0,1,0,0,0,0
"coricare",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"corrispondere",0,0,0,0,0,0,1,0,0,0,2,0,0,0
"criticare",0,0,0,0,0,2,0,0,0,0,0,0,0,1
"debuttare",0,1,0,0,0,0,0,0,1,0,0,0,0,1
"decollare",0,0,0,0,0,0,0,0,0,0,0,2,1,0
"depositare",1,0,1,0,0,0,1,0,0,0,0,0,0,0
"detestare",0,0,0,0,0,0,0,0,0,2,1,0,0,0
"dichiarare",1,0,1,0,0,0,0,0,0,0,1,0,0,0
"disinfettare",0,0,2,0,0,0,0,0,1,0,0,0,0,0
"distinguere",1,0,0,0,0,0,0,0,1,0,0,0,0,1
"ereditare",0,0,1,0,0,0,0,0,1,1,0,0,0,0
"estendere",0,0,0,0,0,0,0,1,1,0,0,0,0,1
"fissare",0,0,1,0,0,0,0,1,0,0,0,0,0,1
"formulare",0,0,1,0,0,0,1,0,0,0,0,0,0,1
"guadagnare",1,0,0,0,0,1,0,0,0,0,0,0,0,1
"guarire",0,0,0,0,0,1,0,0,1,0,0,0,0,1
"illustrare",0,0,1,0,0,0,1,0,0,1,0,0,0,0
"imboccare",0,0,1,0,0,0,0,0,0,0,0,2,0,0
"immergere",0,0,0,0,0,0,0,1,0,0,0,0,0,2
"impegnare",1,0,0,0,0,0,0,0,0,1,0,0,0,1
"impiegare",0,0,0,0,0,1,0,2,0,0,0,0,0,0
"imporre",1,0,1,0,0,1,0,0,0,0,0,0,0,0
"incorporare",0,0,1,0,0,1,0,0,1,0,0,0,0,0
"indagare",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"infilare",0,0,0,0,0,1,0,0,0,0,0,0,0,2
"ingerire",0,0,2,0,0,0,0,1,0,0,0,0,0,0
"inghiottire",1,0,0,0,1,0,0,0,0,0,0,0,0,1
"inseguire",0,0,0,0,0,1,0,0,1,0,0,0,1,0
"insistere",0,0,0,1,0,0,0,0,0,0,2,0,0,0
"interferire",0,0,0,0,0,0,1,0,0,0,2,0,0,0
"introdotto",1,0,0,0,0,0,0,2,0,0,0,0,0,0
"introdurre",0,0,0,0,0,0,0,0,1,1,1,0,0,0
"invadere",0,0,1,0,0,1,0,0,0,0,0,0,1,0
"inventare",1,0,1,0,0,1,0,0,0,0,0,0,0,0
"lavare",0,1,1,0,0,0,0,0,1,0,0,0,0,0
"levare",0,0,0,1,0,0,0,0,0,0,0,0,0,2
"lottare",0,0,2,0,0,1,0,0,0,0,0,0,0,0
"menzionare",2,0,0,0,0,0,0,0,0,0,0,0,0,1
"minacciare",0,0,2,0,0,0,0,0,1,0,0,0,0,0
"mormorare",0,0,0,1,0,0,1,0,0,1,0,0,0,0
"muovere",0,0,0,0,0,1,1,0,0,0,0,0,0,1
"onorare",0,0,0,0,0,1,0,0,1,1,0,0,0,0
"ospitare",0,0,0,0,0,0,0,0,1,2,0,0,0,0
"partorire",0,0,0,0,0,0,0,0,1,0,0,0,0,2
"precedere",1,0,0,0,0,0,0,1,0,1,0,0,0,0
"precisare",0,0,0,0,0,1,0,0,1,0,0,1,0,0
"procurare",1,0,0,0,0,0,0,0,2,0,0,0,0,0
"protestare",0,0,1,0,0,1,0,0,1,0,0,0,0,0
"pungere",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"reagire",0,0,1,0,0,1,0,0,0,0,0,0,0,1
"reggere",0,0,1,2,0,0,0,0,0,0,0,0,0,0
"respirare",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ribadire",1,0,1,0,0,0,0,0,1,0,0,0,0,0
"ricoprire",0,0,1,1,0,0,0,0,0,0,1,0,0,0
"riferire",0,0,1,0,0,0,1,0,1,0,0,0,0,0
"rifiutare",1,0,0,0,0,0,0,0,0,2,0,0,0,0
"rilasciare",0,0,1,0,0,0,1,0,0,0,0,0,1,0
"rimosso",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"rintracciare",1,0,2,0,0,0,0,0,0,0,0,0,0,0
"ripristinare",0,0,0,0,0,0,0,1,2,0,0,0,0,0
"risolto",0,0,1,0,0,0,0,1,0,0,0,0,1,0
"risparmiare",0,0,0,0,0,0,1,0,2,0,0,0,0,0
"riunire",0,0,0,0,0,0,0,1,1,0,1,0,0,0
"rivolgere",0,0,0,0,0,1,0,1,0,0,1,0,0,0
"sacrificare",0,0,0,0,0,2,0,1,0,0,0,0,0,0
"sbagliare",0,0,1,0,0,0,0,2,0,0,0,0,0,0
"scambiare",2,0,0,0,0,1,0,0,0,0,0,0,0,0
"scavalcare",0,0,2,0,0,1,0,0,0,0,0,0,0,0
"sciogliere",0,0,0,0,0,1,0,0,0,1,0,0,1,0
"scusare",0,0,0,0,0,1,0,0,1,0,0,0,0,1
"separare",0,0,1,0,0,0,0,0,1,0,0,0,0,1
"servare",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"servere",0,0,0,0,0,0,0,0,0,2,1,0,0,0
"sistemare",0,0,0,0,0,1,0,2,0,0,0,0,0,0
"smentire",1,0,0,0,0,0,0,1,0,1,0,0,0,0
"sopportare",1,0,0,0,0,0,0,1,0,1,0,0,0,0
"sorgere",0,0,0,0,0,0,0,0,0,0,1,2,0,0
"sorridere",0,0,0,0,0,1,0,0,0,2,0,0,0,0
"sospettare",2,0,0,0,0,0,0,0,0,1,0,0,0,0
"sottrarra",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"sottrarre",0,0,0,0,0,0,2,0,0,0,1,0,0,0
"spazzare",0,0,0,0,0,0,1,2,0,0,0,0,0,0
"sperare",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"spostare",0,0,1,0,0,0,0,0,1,0,0,0,1,0
"stendere",0,0,1,0,0,1,0,0,1,0,0,0,0,0
"successo",1,0,0,0,0,0,0,2,0,0,0,0,0,0
"suonare",0,0,0,1,0,0,0,0,0,1,0,1,0,0
"suscitare",1,0,0,0,0,1,0,0,1,0,0,0,0,0
"sussista",0,0,0,1,0,0,0,0,0,0,2,0,0,0
"svelare",0,0,0,0,0,0,1,0,0,1,0,0,0,1
"tacere",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"tradire",0,0,0,0,0,0,0,2,0,0,0,0,0,1
"vado",0,2,0,0,0,0,0,0,0,1,0,0,0,0
"vanificare",0,0,0,0,1,0,1,1,0,0,0,0,0,0
"vare",0,0,0,0,0,0,0,0,1,1,0,1,0,0
"volere",0,0,0,2,0,0,0,0,0,1,0,0,0,0
"vomitare",0,0,1,0,0,0,0,1,0,0,0,0,0,1
"abbracciare",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"abolire",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"accorgersi",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"accrescere",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"adattare",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"addentrare",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"additare",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"aderire",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"affiggere",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"affogare",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"alienare",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"alludere",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"ammirare",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"annusare",0,0,1,0,0,0,0,0,1,0,0,0,0,0
"appaiare",0,0,0,0,0,0,0,0,0,1,0,1,0,0
"appendere",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"appiccare",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"appurare",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"arginare",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"arricchire",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"arrotolare",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"aspirare",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"assomigliare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"autorizzare",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"avvantaggiare",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"baciare",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"bagnare",0,0,0,0,0,0,1,0,0,0,0,1,0,0
"bazzicare",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"cacciare",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"caratterizzare",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"carpire",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"cessare",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"collegare",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"collocare",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"comandare",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"commentare",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"comporre",0,0,0,0,0,0,0,1,0,0,0,1,0,0
"compromettere",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"comunicare",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"conciliare",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"concorrere",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"confidare",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"confortare",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"congratularsi",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"contare",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"contattare",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"contestare",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"contrarre",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"convocare",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"convogliare",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"coordinare",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"coperto",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"costare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"danneggiare",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"declamare",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"deflagrare",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"designare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"destare",0,0,0,0,1,0,1,0,0,0,0,0,0,0
"detrarre",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"deviare",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"difettare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"dimettere",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"diretto",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"disputare",0,0,1,0,0,0,0,0,1,0,0,0,0,0
"distillare",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"distrarre",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"disturbare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"divampare",0,0,0,0,0,0,0,0,0,0,0,2,0,0
"dominare",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"elaborare",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"equivalere",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"esaltare",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"esclamare",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"esercire",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"espellere",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"esperire",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"espletare",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"estinguere",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"estrarre",0,0,0,0,0,0,1,0,0,0,0,1,0,0
"etichettare",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"evidenziare",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"evocare",0,0,1,0,1,0,0,0,0,0,0,0,0,0
"fagocitare",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"faticare",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"festeggiare",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"fingere",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"fiutare",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"fomentare",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"forzare",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"frangere",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"fungere",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"gestire",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"illuminare",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"imitare",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"immobilizzare",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"impiccare",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"inalare",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"incanalare",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"incappare",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"incassare",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"incentivare",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"inciampare",0,0,0,1,0,0,0,0,0,1,0,0,0,0
"increspare",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"indebolire",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"infliggere",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"influenzare",1,0,0,0,0,0,0,0,0,1,0,0,0,0
"informare",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"infornare",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"innalzare",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"instaurare",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"intascare",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"interagire",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"intercettare",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"interessare",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"interpretare",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"intimare",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"intravedere",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"intuire",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"irritare",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"iscrivere",0,0,0,0,0,0,0,1,0,0,0,0,0,1
"lambire",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"licenziare",0,0,0,0,0,0,0,1,0,0,0,0,1,0
"menare",0,0,0,0,0,1,0,1,0,0,0,0,0,0
"meritare",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"messa",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"misurare",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"moltiplicare",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"montare",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"negare",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"obbedire",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"obbligare",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"oltrepassare",0,0,0,0,0,0,0,0,0,0,0,1,0,1
"omettere",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"orientare",0,0,0,0,0,0,1,0,1,0,0,0,0,0
"osteggiare",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ottimizzare",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ovviare",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"paralizzare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"pendere",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"perseguire",1,0,0,0,0,0,0,0,0,0,1,0,0,0
"piazzare",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"poggiare",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"pompare",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"posare",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"postare",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"potenziare",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"praticare",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"predisporre",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"prenotare",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"presupporre",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"prevalere",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"progettare",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"promettere",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"promosso",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"promuovere",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"pulire",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"quantificare",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"rafforzare",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"rafforzarele",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"recidere",0,0,0,0,0,1,1,0,0,0,0,0,0,0
"regnare",0,1,0,0,0,0,0,0,0,0,1,0,0,0
"regolare",0,0,1,0,0,0,0,0,0,0,1,0,0,0
"reputare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"respingere",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"riacquistare",0,0,1,0,0,0,0,0,0,0,0,0,1,0
"riassumere",0,0,0,0,0,0,1,0,0,0,1,0,0,0
"richiamare",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"ricondurre",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ricoverare",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ridere",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ridimensionare",0,0,0,0,0,0,0,0,0,1,0,0,1,0
"riformare",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"rifuggire",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"rilassare",0,0,0,0,0,1,0,0,1,0,0,0,0,0
"rimpicciolire",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"rimuovere",2,0,0,0,0,0,0,0,0,0,0,0,0,0
