"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"partecipare",0,0,5,0,0,0,0,5,3,1,3,0,1,0
"salire",0,1,1,0,0,2,0,1,0,2,1,3,0,7
"scoppiare",0,0,0,0,0,1,0,0,0,2,0,15,0,0
"scoprire",0,0,6,1,0,0,0,0,2,1,0,4,0,4
"verificare",0,0,5,0,0,1,9,0,3,0,0,0,0,0
"vincere",0,0,8,0,0,0,0,1,3,1,0,5,0,0
"apparire",0,1,0,7,0,0,4,1,0,0,2,2,0,0
"definire",8,0,0,0,0,3,0,1,3,0,1,1,0,0
"mandare",1,0,2,0,0,5,0,2,2,1,0,0,1,3
"attraversare",0,0,6,0,0,0,1,0,2,0,0,0,2,5
"dormire",0,0,2,0,0,3,0,1,0,2,0,0,0,8
"fornire",1,0,0,0,0,1,8,1,0,2,3,0,0,0
"presentare",4,0,2,0,0,0,1,2,1,3,1,0,1,1
"sostenere",0,0,3,0,0,0,2,2,4,3,1,0,0,1
"spingere",8,0,0,0,0,3,0,1,1,1,1,0,0,1
"stabilire",1,0,2,0,0,0,6,0,3,1,1,0,2,0
"trascorrere",0,0,13,0,0,2,0,0,1,0,0,0,0,0
"abitare",0,10,0,0,0,2,0,1,0,1,1,0,0,0
"accettare",1,0,1,0,0,2,0,7,0,0,1,2,0,1
"comprendere",1,0,0,0,0,0,1,4,1,2,6,0,0,0
"contenere",0,0,0,0,0,0,0,0,1,2,11,1,0,0
"correre",0,3,1,0,0,2,0,1,2,3,2,0,0,1
"favorire",1,0,0,0,0,1,9,1,2,0,1,0,0,0
"giocare",0,3,6,0,0,2,0,2,0,0,1,0,0,1
"ricordare",3,1,0,1,0,1,0,2,2,1,4,0,0,0
"risolvere",0,0,0,0,0,6,1,0,7,1,0,0,0,0
"scegliere",3,0,2,0,0,1,0,4,2,2,0,0,1,0
"scrivere",0,1,0,0,0,3,1,0,5,0,2,0,0,3
"annunciare",1,0,4,0,0,3,1,0,1,2,0,2,0,0
"difendere",2,0,1,0,0,4,0,2,3,1,1,0,0,0
"disporre",6,0,1,0,0,1,1,1,0,1,3,0,0,0
"divenire",3,0,0,6,0,0,1,0,0,0,1,2,0,1
"girare",0,1,1,4,0,1,0,0,0,1,0,1,0,5
"limitare",0,0,0,0,0,6,3,0,3,1,1,0,0,0
"offrire",0,0,0,0,0,2,3,0,1,0,7,0,0,1
"parere",0,1,0,3,0,0,0,0,0,3,7,0,0,0
"potere",0,0,0,0,0,0,11,0,2,0,0,0,0,1
"prevenire",0,0,0,0,0,0,12,1,1,0,0,0,0,0
"proseguire",0,0,0,0,0,0,1,0,1,0,0,0,0,12
"sparire",0,0,0,4,0,0,0,0,0,0,0,2,0,8
"udire",0,0,0,6,0,0,0,3,0,2,2,1,0,0
"vido",0,1,0,11,0,0,0,0,0,1,1,0,0,0
"amare",1,1,0,0,0,0,0,1,0,7,3,0,0,0
"consegnare",1,0,2,0,0,1,0,1,0,0,0,1,1,6
"contribuire",0,0,0,0,0,0,6,0,2,3,2,0,0,0
"costruire",0,0,1,0,0,2,2,1,2,1,1,2,0,1
"impedire",0,0,0,0,0,1,7,1,2,2,0,0,0,0
"intervenire",0,0,0,0,0,2,1,1,0,1,3,5,0,0
"raccogliere",1,0,8,0,0,0,1,0,1,0,1,0,1,0
"sposare",2,0,4,0,0,0,0,0,0,0,0,0,0,7
"trasformare",7,0,0,0,0,2,2,0,2,0,0,0,0,0
"accertare",0,0,0,0,0,0,6,0,5,0,0,0,1,0
"acquistare",1,0,1,0,0,2,0,2,1,1,0,0,3,1
"aspettare",0,1,2,2,0,4,0,0,0,1,0,2,0,0
"dedicare",1,0,1,0,0,6,0,2,1,0,0,0,0,1
"eliminare",0,0,3,0,0,2,2,0,3,2,0,0,0,0
"esaminare",0,0,4,0,0,2,2,0,1,0,1,0,0,2
"eseguire",0,0,3,1,0,0,0,4,1,1,1,0,0,1
"formare",1,0,0,1,0,1,4,0,4,0,0,1,0,0
"fuggire",1,1,2,0,0,1,1,0,2,0,0,3,0,1
"indicare",2,0,0,0,0,0,3,0,3,0,3,0,1,0
"indossare",0,0,1,1,0,2,0,4,0,0,2,0,0,2
"occorrere",0,0,0,0,0,0,1,0,0,6,5,0,0,0
"pagare",0,0,5,0,0,2,0,1,3,1,0,0,0,0
"porre",4,0,0,0,0,0,4,0,0,0,2,0,1,1
"pubblicare",1,0,2,0,0,0,0,5,0,0,0,1,2,1
"riassegnare",0,0,0,0,0,0,0,12,0,0,0,0,0,0
"richiedere",1,0,0,0,0,0,0,0,1,0,10,0,0,0
"subire",0,0,10,0,0,1,0,0,0,0,0,0,0,1
"trattare",2,0,0,0,0,2,1,4,0,1,2,0,0,0
"cedere",1,0,2,1,0,0,0,0,1,0,0,0,2,4
"comparire",0,0,0,3,0,0,0,0,0,0,2,6,0,0
"comprare",0,0,1,0,0,3,0,0,3,2,0,0,0,2
"conquistare",3,0,5,0,0,1,0,1,1,0,0,0,0,0
"curare",0,0,0,0,0,0,1,6,2,0,0,0,1,1
"eleggere",1,0,0,0,1,0,0,1,2,0,0,1,5,0
"esercitare",0,1,1,0,0,0,1,3,3,1,1,0,0,0
"mostrare",0,0,2,0,0,2,0,0,3,1,2,0,0,1
"procedere",0,0,1,0,0,0,3,0,0,2,0,0,0,5
"rispettare",0,0,1,1,0,1,1,1,2,1,2,0,0,1
"smettere",2,0,1,2,0,0,0,0,0,1,0,2,0,3
